,api_uri,district,domain,dw_nominate,facebook_account,facebook_id,first_name,google_entity_id,id,ideal_point,last_name,middle_name,missed_votes,missed_votes_pct,next_election,party,rss_url,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct
312,https://api.propublica.org/congress/v1/members/P000605.json,4,perry.house.gov,,Rep.ScottPerry,376801102416184,Scott,/m/04mwt6y,P000605,,Perry,,2,2.02,2018,R,,6,PA,0,99,RepScottPerry,http://perry.house.gov,95.88
313,https://api.propublica.org/congress/v1/members/P000606.json,9,pittenger.house.gov,,congressmanpittenger,376142742468386,Robert,/m/02b5bx,P000606,,Pittenger,,1,1.01,2018,R,http://pittenger.house.gov/rss.xml,6,NC,0,99,RepPittenger,https://pittenger.house.gov,96.94
314,https://api.propublica.org/congress/v1/members/P000607.json,2,pocan.house.gov,,repmarkpocan,436881033058309,Mark,/m/0gyhpz,P000607,,Pocan,,4,4.04,2018,D,http://pocan.house.gov/rss.xml,6,WI,0,99,RepMarkPocan,http://pocan.house.gov,94.74
315,https://api.propublica.org/congress/v1/members/P000608.json,52,scottpeters.house.gov,,CongressmanScottPeters,449337038470352,Scott,/m/02rymxd,P000608,,Peters,,0,0.00,2018,D,http://scottpeters.house.gov/rss.xml,6,CA,0,99,RepScottPeters,http://scottpeters.house.gov,88.89
316,https://api.propublica.org/congress/v1/members/P000609.json,6,,,USRepresentativeGaryPalmer,,Gary,/m/0115nklq,P000609,,Palmer,,1,1.01,2018,R,https://palmer.house.gov/rss.xml,4,AL,0,99,USRepGaryPalmer,https://palmer.house.gov,97.96
317,https://api.propublica.org/congress/v1/members/P000610.json,79,,,repstaceyplaskett,665951613514437,Stacey,/m/012844_c,P000610,,Plaskett,,,,2018,D,https://plaskett.house.gov/rss.xml,4,VI,,0,staceyplaskett,https://plaskett.house.gov,
318,https://api.propublica.org/congress/v1/members/P000611.json,2,,,RepPoliquin,,Bruce,/m/0hrbhmw,P000611,,Poliquin,,0,0.00,2018,R,https://poliquin.house.gov/rss.xml,4,ME,0,99,RepPoliquin,https://poliquin.house.gov,95.96
319,https://api.propublica.org/congress/v1/members/P000613.json,20,panetta.house.gov,,RepJimmyPanetta,,Jimmy,/m/0pyy9y4,P000613,,Panetta,,0,0.00,2018,D,,2,CA,0,99,RepJimmyPanetta,https://panetta.house.gov,94.95
320,https://api.propublica.org/congress/v1/members/Q000023.json,5,quigley.house.gov,,repmikequigley,158963645688,Mike,/m/0fccwh,Q000023,,Quigley,,4,4.04,2018,D,,10,IL,0,99,RepMikeQuigley,https://quigley.house.gov,96.84
321,https://api.propublica.org/congress/v1/members/R000395.json,5,halrogers.house.gov,,CongressmanHalRogers,6722039085,Harold,/m/025jnx,R000395,,Rogers,,0,0.00,2018,R,http://halrogers.house.gov/news/rss.aspx,38,KY,0,99,RepHalRogers,http://halrogers.house.gov,97.98
322,https://api.propublica.org/congress/v1/members/R000409.json,48,rohrabacher.house.gov,,RepRohrabacher,321029601363321,Dana,/m/02gtr,R000409,,Rohrabacher,,3,3.03,2018,R,https://rohrabacher.house.gov/rss.xml,30,CA,0,99,,https://rohrabacher.house.gov,96.88
323,https://api.propublica.org/congress/v1/members/R000435.json,27,ros-lehtinen.house.gov,,iroslehtinen,286546974761109,Ileana,/m/02530d,R000435,,Ros-Lehtinen,,2,2.02,2018,R,http://ros-lehtinen.house.gov/rss.xml,30,FL,0,99,RosLehtinen,http://ros-lehtinen.house.gov,87.63
324,https://api.propublica.org/congress/v1/members/R000486.json,40,roybal-allard.house.gov,,RepRoybalAllard,139773069370563,Lucille,/m/024txf,R000486,,Roybal-Allard,,0,0.00,2018,D,http://roybal-allard.house.gov/news/rss.aspx,26,CA,0,99,RepRoybalAllard,http://roybal-allard.house.gov,95.96
325,https://api.propublica.org/congress/v1/members/R000487.json,39,www.royce.house.gov,,EdRoyce,6460640558,Edward,/m/024xcy,R000487,,Royce,,0,0.00,2018,R,http://royce.house.gov/news/rss.aspx,26,CA,0,99,RepEdRoyce,http://royce.house.gov,96.97
326,https://api.propublica.org/congress/v1/members/R000515.json,1,rush.house.gov,,congressmanbobbyrush,230753786936538,Bobby,/m/0255x3,R000515,,Rush,L.,78,78.79,2018,D,http://rush.house.gov/rss.xml,26,IL,0,99,RepBobbyRush,http://rush.house.gov,90.48
327,https://api.propublica.org/congress/v1/members/R000570.json,1,paulryan.house.gov,,speakerryan,924244934290700,Paul,/m/024v2j,R000570,,Ryan,D.,97,97.98,2018,R,http://paulryan.house.gov/news/rss.aspx,20,WI,0,99,SpeakerRyan,http://paulryan.house.gov,50.00
328,https://api.propublica.org/congress/v1/members/R000575.json,3,mikerogers.house.gov,,171770326187035,171770326187035,Mike,/m/024n_s,R000575,,Rogers,D.,0,0.00,2018,R,https://mikerogers.house.gov/rss.xml,18,AL,0,99,RepMikeRogersAL,https://mikerogers.house.gov,96.97
329,https://api.propublica.org/congress/v1/members/R000576.json,2,ruppersberger.house.gov,,184756771570504,184756771570504,C.A. Dutch,/m/025k36,R000576,,Ruppersberger,,0,0.00,2018,D,http://ruppersberger.house.gov/rss.xml,16,MD,0,99,Call_Me_Dutch,http://ruppersberger.house.gov,94.95
330,https://api.propublica.org/congress/v1/members/R000577.json,13,timryan.house.gov,,timryan,121560497865,Tim,/m/039tr9,R000577,,Ryan,,34,34.34,2018,D,http://timryan.house.gov/rss.xml,16,OH,0,99,RepTimRyan,http://timryan.house.gov,95.38
331,https://api.propublica.org/congress/v1/members/R000578.json,8,reichert.house.gov,,repdavereichert,91504302598,Dave,/m/03dllc,R000578,,Reichert,,2,2.02,2018,R,http://reichert.house.gov/rss.xml,14,WA,0,99,DaveReichert,http://reichert.house.gov,94.85
332,https://api.propublica.org/congress/v1/members/R000580.json,6,roskam.house.gov,,RepRoskam,118777661469195,Peter,/m/0gj190,R000580,,Roskam,,1,1.01,2018,R,https://roskam.house.gov/rss.xml,12,IL,0,99,PeterRoskam,https://roskam.house.gov,97.96
333,https://api.propublica.org/congress/v1/members/R000582.json,1,roe.house.gov,,DrPhilRoe,130725126985966,Phil,/m/04gtg5_,R000582,,Roe,,3,3.03,2018,R,,10,TN,0,99,DrPhilRoe,http://roe.house.gov,97.92
334,https://api.propublica.org/congress/v1/members/R000583.json,17,rooney.house.gov,,reptomrooney,117697790448,Tom,/m/04jl2j4,R000583,,Rooney,,1,1.01,2018,R,https://rooney.house.gov/rss.xml,10,FL,0,99,TomRooney,https://rooney.house.gov,97.96
335,https://api.propublica.org/congress/v1/members/R000585.json,23,reed.house.gov,,RepTomReed,102449199835273,Tom,/m/07kf86m,R000585,,Reed,,1,1.01,2018,R,https://reed.house.gov/rss.xml,10,NY,0,99,RepTomReed,https://reed.house.gov,96.94
336,https://api.propublica.org/congress/v1/members/R000586.json,16,renacci.house.gov,,repjimrenacci,187639524595278,Jim,/m/025v2hb,R000586,,Renacci,,3,3.03,2018,R,http://renacci.house.gov/?a=rss.feed,8,OH,0,99,RepJimRenacci,https://renacci.house.gov,96.88
337,https://api.propublica.org/congress/v1/members/R000588.json,2,richmond.house.gov,,RepRichmond,197737020257085,Cedric,/m/0bbw8s3,R000588,,Richmond,,12,12.12,2018,D,https://richmond.house.gov/rss.xml,8,LA,0,99,RepRichmond,https://richmond.house.gov,95.40
338,https://api.propublica.org/congress/v1/members/R000591.json,2,roby.house.gov,,Representative.Martha.Roby,174519582574426,Martha,/m/0drx5mb,R000591,,Roby,,0,0.00,2018,R,http://roby.house.gov/rss.xml,8,AL,0,99,RepMarthaRoby,http://roby.house.gov,97.98
339,https://api.propublica.org/congress/v1/members/R000592.json,4,rokita.house.gov,,RepToddRokita,183180288372896,Todd,/m/0bll9p,R000592,,Rokita,,1,1.01,2018,R,http://rokita.house.gov/rss.xml,8,IN,0,99,ToddRokita,http://rokita.house.gov,95.92
340,https://api.propublica.org/congress/v1/members/R000593.json,15,dennisross.house.gov,,dennis.ross.376,469477579757018,Dennis,/m/04zh9h,R000593,,Ross,,0,0.00,2018,R,http://dennisross.house.gov/news/rss.aspx,8,FL,0,99,RepDennisRoss,http://dennisross.house.gov,97.98
