api_uri,domain,dw_nominate,facebook_account,facebook_id,first_name,google_entity_id,id,ideal_point,last_name,middle_name,missed_votes,missed_votes_pct,next_election,party,rss_url,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct
https://api.propublica.org/congress/v1/members/L000575.json,www.lankford.senate.gov,,SenatorLankford,130873066975024,James,/m/0dgrrx6,L000575,,Lankford,,0,0.00,2022,R,,3,OK,0,72,SenatorLankford,https://www.lankford.senate.gov,98.61
https://api.propublica.org/congress/v1/members/L000577.json,www.lee.senate.gov,,senatormikelee,178081365556898,Mike,/m/09v5q9x,L000577,,Lee,,0,0.00,2022,R,,7,UT,0,72,SenMikeLee,https://www.lee.senate.gov/public,95.83
https://api.propublica.org/congress/v1/members/M000133.json,markey.senate.gov,,EdJMarkey,6846731378,Edward,/m/028vr4,M000133,,Markey,J.,1,1.39,2020,D,http://www.markey.senate.gov/rss/feeds/,5,MA,0,72,SenMarkey,http://www.markey.senate.gov,97.18
https://api.propublica.org/congress/v1/members/M000303.json,www.mccain.senate.gov,,johnmccain,6425923706,John,/m/0bymv,M000303,,McCain,,3,4.17,2022,R,http://www.mccain.senate.gov/public/?a=rss.feed,31,AZ,0,72,SenJohnMcCain,http://www.mccain.senate.gov,97.10
https://api.propublica.org/congress/v1/members/M000355.json,,,mitchmcconnell,,Mitch,/m/01z6ls,M000355,,McConnell,,0,0.00,2020,R,http://www.mcconnell.senate.gov/public/?a=RSS.Feed,33,KY,1,72,McConnellPress,http://www.mcconnell.senate.gov,97.22
https://api.propublica.org/congress/v1/members/M000639.json,menendez.senate.gov,,senatormenendez,349744811357,Robert,/m/033d3p,M000639,,Menendez,,0,0.00,2018,D,http://www.menendez.senate.gov/rss/feeds/,12,NJ,0,72,SenatorMenendez,https://www.menendez.senate.gov,97.22
https://api.propublica.org/congress/v1/members/M000934.json,www.moran.senate.gov/public/,,jerrymoran,171578807105,Jerry,/m/024s8t,M000934,,Moran,,1,1.39,2022,R,http://www.moran.senate.gov/public/index.cfm/rss/feed,7,KS,0,72,JerryMoran,http://www.moran.senate.gov,98.59
https://api.propublica.org/congress/v1/members/M001111.json,,,,,Patty,/m/018qx5,M001111,,Murray,,0,0.00,2022,D,http://www.murray.senate.gov/public/?a=RSS.Feed,25,WA,0,72,PattyMurray,http://www.murray.senate.gov/public,95.83
https://api.propublica.org/congress/v1/members/M001153.json,www.murkowski.senate.gov,,SenLisaMurkowski,25271170290,Lisa,/m/0202kt,M001153,,Murkowski,,1,1.39,2022,R,,17,AK,0,72,LisaMurkowski,https://www.murkowski.senate.gov,97.18
https://api.propublica.org/congress/v1/members/M001169.json,murphy.senate.gov,,chrismurphyct,19437978960,Christopher,/m/0cy_dh,M001169,,Murphy,S.,2,2.78,2018,D,http://www.murphy.senate.gov/rss/feeds/?press,5,CT,0,72,ChrisMurphyCT,https://www.murphy.senate.gov,98.57
https://api.propublica.org/congress/v1/members/M001170.json,www.mccaskill.senate.gov,,senatormccaskill,131498087618,Claire,/m/040_w4,M001170,,McCaskill,,2,2.78,2018,D,http://www.mccaskill.senate.gov/rss/feeds/?press,11,MO,0,72,McCaskillOffice,https://www.mccaskill.senate.gov,94.29
https://api.propublica.org/congress/v1/members/M001176.json,,,jeffmerkley,74374931545,Jeff,/m/026k60f,M001176,,Merkley,,0,0.00,2020,D,https://www.merkley.senate.gov/rss/feeds/,9,OR,0,72,SenJeffMerkley,https://www.merkley.senate.gov,93.06
https://api.propublica.org/congress/v1/members/M001183.json,www.manchin.senate.gov,,JoeManchinIII,10150135395755161,Joe,/m/04lc5t,M001183,,Manchin III,,0,0.00,2018,D,http://www.manchin.senate.gov/public/index.cfm/rss/feed,9,WV,0,72,Sen_JoeManchin,http://www.manchin.senate.gov/public,77.78
https://api.propublica.org/congress/v1/members/N000032.json,billnelson.senate.gov,,,,Bill,/m/01_pb_,N000032,,Nelson,,0,0.00,2018,D,,17,FL,0,72,SenBillNelson,https://www.billnelson.senate.gov,98.61
https://api.propublica.org/congress/v1/members/P000449.json,,,senrobportman,45243961073,Rob,/m/0343xg,P000449,,Portman,,0,0.00,2022,R,http://www.portman.senate.gov/public/index.cfm/rss/feed,7,OH,0,72,SenRobPortman,http://www.portman.senate.gov,97.22
https://api.propublica.org/congress/v1/members/P000595.json,peters.house.gov,,SenatorGaryPeters,88851604323,Gary,/m/02x0lnt,P000595,,Peters,,0,0.00,2020,D,,3,MI,0,72,SenGaryPeters,https://www.peters.senate.gov,100.00
https://api.propublica.org/congress/v1/members/P000603.json,,,SenatorRandPaul,161355253917286,Rand,/m/05pdb7q,P000603,,Paul,,0,0.00,2022,R,https://www.paul.senate.gov/rss/feeds/,7,KY,0,72,,https://www.paul.senate.gov,90.28
https://api.propublica.org/congress/v1/members/P000612.json,www.perdue.senate.gov,,SenatorDavidPerdue,311482539049477,David,/m/03wp8v4,P000612,,Perdue,,0,0.00,2020,R,,3,GA,0,72,sendavidperdue,http://www.perdue.senate.gov,98.61
https://api.propublica.org/congress/v1/members/R000122.json,,,SenJackReed,213866375370646,Jack,/m/0202mc,R000122,,Reed,,0,0.00,2020,D,https://www.reed.senate.gov/rss/feeds/?type=press,21,RI,0,72,SenJackReed,https://www.reed.senate.gov,97.22
https://api.propublica.org/congress/v1/members/R000307.json,,,SenPatRoberts,205694792808927,Pat,/m/01_pdv,R000307,,Roberts,,0,0.00,2020,R,http://www.roberts.senate.gov/public/index.cfm?a=RSS.Feed,21,KS,0,72,SenPatRoberts,http://www.roberts.senate.gov,98.61
https://api.propublica.org/congress/v1/members/R000584.json,www.risch.senate.gov,,,,Jim,/m/06y9p0,R000584,,Risch,,0,0.00,2020,R,,9,ID,0,72,SenatorRisch,http://www.risch.senate.gov,98.61
